Name,Symbol
3I GROUP PLC,III
ADMIRAL GROUP PLC,ADM
AIRTEL AFRICA PLC,AAF
ALLIANCE WITAN,ALW
ANGLO AMERICAN,AAL
ANTOFAGASTA PLC,ANTO
ASHTEAD GROUP PLC,AHT
ASSOCIATED BRITISH,ABF
ASTRAZENECA PLC,AZN
AUTO TRADER,AUTO
AVIVA PLC,AV.
BABCOCK INT'L GROUP,BAB
BAE SYSTEMS,BA.
BARCLAYS PLC,BARC
BARRATT REDROW PLC,BTRW
BEAZLEY PLC,BEZ
BERKELEY GROUP,BKG
BP PLC,BP.
BRITISH AMERICAN TOB,BATS
BT GROUP PLC,BT.A
BUNZL PLC,BNZL
CENTRICA PLC,CNA
COCA COLA HBC AG,CCH
COCA-COLA,CCEP
COMPASS GROUP PLC,CPG
CONVATEC GROUP,CTEC
CRODA INTERNATIONAL,CRDA
DCC PLC,DCC
DIAGEO PLC,DGE
DIPLOMA PLC,DPLM
EASYJET PLC,EZJ
ENDEAVOUR MINING,EDV
ENTAIN PLC,ENT
EXPERIAN PLC,EXPN
F & C INVESTMEN,FCIT
FRESNILLO PLC,FRES
GAMES WORKSHOP GROUP,GAW
GLENCORE PLC,GLEN
GSK PLC,GSK
HALEON PLC,HLN
HALMA PLC,HLMA
HIKMA PHARMACEUTICAL,HIK
HISCOX PLC,HSX
HOWDEN JOINERY,HWDN
HSBC HOLDINGS PLC,HSBA
IAG SA,IAG
IMI PLC,IMI
IMPERIAL BRANDS,IMB
INFORMA PLC,INF
INTERCONTINENTAL,IHG
INTERMEDIATE CAPITAL,ICG
INTERTEK GROUP,ITRK
J SAINSBURY PLC,SBRY
JD SPORTS FASHION,JD.
KINGFISHER PLC,KGF
LAND SECURITIES,LAND
LEGAL & GEN'L GRP,LGEN
LLOYDS BANKING GROUP,LLOY
LONDON STOCK EXCH,LSEG
LONDONMETRIC PRO,LMP
M&G PLC,MNG
MARKS & SPENCER,MKS
MELROSE,MRO
MONDI PLC,MNDI
NATIONAL GRID PLC,NG.
NATWEST GROUP PLC,NWG
NEXT PLC,NXT
PEARSON PLC,PSON
PERSHING SQUARE,PSH
PERSIMMON PLC,PSN
PHOENIX GROUP,PHNX
POLAR CAPITAL,PCT
PRUDENTIAL PLC,PRU
RECKITT BENCKISER,RKT
RELX PLC,REL
RENTOKIL INITIAL PLC,RTO
RIGHTMOVE PLC,RMV
RIO TINTO PLC,RIO
ROLLS-ROYCE,RR.
SAGE GROUP PLC,SGE
SCHRODERS PLC,SDR
SCOTTISH MORTGAGE,SMT
SEGRO PLC,SGRO
SEVERN TRENT PLC,SVT
SHELL PLC,SHEL
SMITH & NEPHEW PLC,SN.
SMITHS INDUSTRIES,SMIN
SPIRAX GROUP,SPX
SSE PLC,SSE
ST JAMES'S,STJ
STANDARD CHARTERED,STAN
TAYLOR WIMPEY PLC,TW.
TESCO PLC,TSCO
UNILEVER PLC,ULVR
UNITE GROUP PLC,UTG
UNITED UTILITIES PLC,UU.
VODAFONE GROUP PLC,VOD
WEIR GROUP PLC,WEIR
WHITBREAD PLC,WTB
WPP PLC,WPP
